Reservoir,Nb,U/Pb,La,Rb,Ba,Th/U,Location
DM,9.83,,6.23,3.81,49.1,,
DM,8.75,,5.92,4.18,52.4,,
DM,11.05,,7.24,6.007,71.1,,
DM,10.97,,7.08,7.298,57.3,,
DM,0.78,,1.09,0.265,,,
DM,3.45,0.506542056,4.08,2.48,15.77,0.741697417,
DM,3.25,0.156739812,3.98,1.55,14.15,2.24,
DM,3.09,0.163106796,3.57,2.09,15.21,1.928571429,
DM,1.89,,2.98,0.46,10.1,,
DM,2.22,,2.73,0.483,,,
DM,2.25,,2.73,0.383,9.4,,
DM,,,3.3,1.76,11.5,,
DM,5.12,0.139784946,4.56,2.6,25.91,2.888888889,
DM,3.28,0.11589404,4.2,1.45,14.94,3.085714286,
DM,3.08,0.048654837,3.97,1.9,14.49,2.282352941,
DM,1.83,0.090673575,2.42,0.89,9.54,3.342857143,
DM,2.6,0.134980989,3.08,2.1,13.64,2.690140845,
DM,2.27,,3.26,1.18,,,
DM,1.24,,1.87,0.343,,,
DM,1.26,,1.81,0.258,,,
DM,1.75,,2.07,0.656,29.8,,
DM,,,2.9,1.26,7.28,,
DM,1.6,,2.05,0.633,7.9,,
DM,1.58,,2.3,0.459,,,
DM,,,2.21,0.47,6.37,,
DM,,,,1.597,,,
DM,2.66,,3.84,0.482,,,
DM,11.24,0.291666667,7.31,5.75,73.96,2.380952381,
DM,10.61,0.40625,6.85,6.88,64.86,2.038461538,
DM,8.16,0.317460317,5.67,5.52,52.11,2.45,
DM,10.15,0.323076923,6.49,5.04,57.44,2.285714286,
DM,3.3,,,0.489,,,
DM,6,,,2.267,,,
DM,,,,0.96,50.3,,
DM,,,,2.08,17.3,,
DM,,,,0.81,25.6,,
DM,2.96,0.25,2.72,0.19,13.7,2.166666667,
DM,9.4,0.507936508,6.67,4.87,55.4,1.75,
DM,4.18,0.222222222,3.85,6.11,26.81,2,
DM,3.5,0.230769231,3.08,0.15,10.98,2.222222222,
DM,12.92,0.281818182,8.22,6.93,76.47,2.258064516,
DM,4.47,0.305555556,3.1,2.51,28.74,2.272727273,
DM,2.72,0.411764706,1.82,,18.47,3,
DM,13.86,0.484375,8.68,,101.24,3.225806452,
DM,10.53,0.272727273,7.6,5.8,68.63,3.238095238,
DM,6.3,0.21875,4.66,3.41,41.9,2.785714286,
DM,6.49,0.282608696,4.53,3.4,44.02,2.846153846,
DM,4.76,0.188679245,3.81,2.86,35.01,2.5,
DM,6.22,0.152173913,5.09,3.06,33.4,2.571428571,
